Country,City,Title,Activities_Type,Review_Count,Rating,Description,Address,Open,Close,Lat,Long,A_Type,Review_Rating
Thailand,Phuket,Mai Khao Beach,"Outdoor Activities, Nature & Parks, Beaches",404,4.5,NaN,"Phuket 83110, Thailand",NaN,NaN,8.0707888,98.3307468,"Active, Water Activities, Nature",1818
Thailand,"Phuket, Kathu, Patong",Patong Boxing Stadium,"Sights & Landmarks, Arenas & Stadiums",1016,4,NaN,"59 Sai Nam Yen Road Patong Beach, Patong, Kathu, Phuket 83150, Thailand",NaN,NaN,7.8966491,98.301951,Attractions,4064
Thailand,"Phuket, Karon",Karon View Point,"Sights & Landmarks, Lookouts",2608,4.5,NaN,"Rob Ko Road Chang Wat Phuket, Karon, Phuket 83100, Thailand",1200,2359,7.8936504,98.4378665,Attractions,11736
Thailand,"Phuket, Karon",Kata Noi Beach,"Outdoor Activities, Nature & Parks, Beaches",2548,4.5,NaN,"Karon, Phuket 83100, Thailand",NaN,NaN,7.8287744,98.3012857,"Active, Water Activities, Nature",11466
Thailand,"Phuket, Kathu",Tiger Kingdom Phuket,"Nature & Parks, Zoos & Aquariums, Outdoor Activities, Nature & Wildlife Areas, ",350,3.5,"Tiger Kingdom Phuket is a once in a lifetime experience where you can meet, play, and have your photo taken with tigers! Can you make friends with one of our cubs? Or are you brave enough to approach one of our giant tigers? If so, great! We can't...","118/88, Moo 7, Kathu, Phuket 83120, Thailand",0900,1800,7.9070382,98.3300115,"Food, Active, Nightlife, Water Activities, Nature, Cultural, Attractions",1225
Thailand,"Phuket, Kathu, Kamala",Kamala Beach,"Nature & Parks, Outdoor Activities, Beaches",1977,4,NaN,"Kamala, Kathu, Phuket 83150, Thailand",NaN,NaN,7.9038781,98.3033694,"Active, Water Activities, Nature",7908
Thailand,"Phuket, Kathu, Patong",Malin Plaza Patong,"Shopping, Flea & Street Markets",366,4.5,NaN,"Prachanukhro Road, Patong, Kathu, Phuket 83150, Thailand",NaN,NaN,7.8843986,98.292791,City,1647
Thailand,"Phuket, Rawai",Promthep Cape,"Sights & Landmarks, Lookouts",1698,4.5,NaN,"Rawai, Phuket, Thailand",NaN,NaN,7.8077767,98.3372239,Attractions,7641
Thailand,"Phuket, Thalang District",Gibbon Rehabilitation Project,"Nature & Parks, Nature & Wildlife Areas",1076,4.5,We're a unique animal welfare and conservation project working to rehabilitate unwanted or confiscated gibbons from the pet trade and tourist industry. Come visitor our centre at Bang Pae waterfall and learn about the fascinating lives of gibbons...,"Bang Pae Waterfall, Phuket, Thailand",0900,1630,8.0392798,98.3913003,Nature,4842
Thailand,"Phuket, Kathu",Phuket Wake Park,"Fun & Games, Sports Complexes",145,4,"Phuket Wake Park is one of the most exciting and challenging activities to experience in Phuket. Located in the middle of the island, the park offers 2 wakeboarding tracks on a freshwater lake. One shorter cable for the beginners and another one...","86/3 Moo 6 Vichitsongkram Road, Kathu, Phuket 83120, Thailand",0900,1800,7.926634,98.329761,Active,580
Thailand,"Phuket, Kathu, Patong",Tri Trang Beach,"Outdoor Activities, Nature & Parks, Beaches",637,4,NaN,"Muen - Ngern Rd,, Patong, Kathu, Phuket 83150, Thailand",NaN,NaN,7.8866248,98.2714808,"Active, Water Activities, Nature",2548
Thailand,"Phuket, Kathu, Kamala",Phuket FantaSea,"Water & Amusement Parks, Theme Parks",7533,4,"As featured in <a href=""/Guide-g293920-k1016-Phuket.html"" onclick=""undefined"">3 Days in Phuket</a></span>","99, Moo 3 Kamala Beach, Kamala, Kathu, Phuket 83150, Thailand",530,2330,7.956388,98.287511,"Water Activities, Attractions",30132
Thailand,"Phuket, Karon, Kata Beach",KokChang Safari Elephant Trekking,"Nature & Parks, Nature & Wildlife Areas",1400,4.5,"Kok Chang Elephant Trekking Safari in set on a beautiful ocean viewpoint where the dense tropical jungle overlooks Kata Noi Bay. We offer various jungle routes riding on these Majestic animals from 20 minutes, or to the summit on 30 minute and 1...","287 Moo 2, Karon, Muang Phuket, Phuket , Thailand, Kata Beach, Karon, Phuket 83100, Thailand",0830,1730,7.8027396,98.3065308,Nature,6300
Thailand,"Phuket, Phuket Town",Naka Market,"Shopping, Flea & Street Markets",1759,4,"Phuket weekend market (locally known as Naka Market), located along Chao Fa West Road just outside Phuket Town not far from Central Festival, is a fascinating jumble of secondhand goods, curios, pirated items, live animals and a large amount of...","Chao Fa West Road, Phuket Town, Phuket 83000, Thailand",NaN,NaN,7.8664358,98.3720367,City,7036
Thailand,"Phuket, Phuket Town, Chalong",Chaithararam Temple (Wat Chalong),"Sights & Landmarks, Sacred & Religious Sites",2973,4.5,NaN,"Chao Fah Tawan Tok Road, Chalong, Phuket Town, Phuket 83000, Thailand",NaN,NaN,7.858695,98.3421075,"Cultural, Attractions",13378.5
Thailand,"Phuket, Phuket Town",Sunday Walking Street Market (Lard Yai),"Shopping, Flea & Street Markets",345,4.5,NaN,"Thalang Road, Phuket Town, Phuket 83000, Thailand",NaN,NaN,7.8847173,98.3897991,City,1552.5
Thailand,"Phuket, Karon, Kata Beach",Surf House Phuket - Kata Beach,"Water & Amusement Parks, Water Parks",1623,4.5,"Aloha! Surf House Kata Beach is a family oriented, beach front surf club which has its own bistro and bar, as well as retail outlet. The centrepiece of the venue is the 'Double FlowRider' which allows one to seemingly 'surf', all day... everyday...","4 Pakbang Road T.Karon, A.Muang, Kata Beach, Karon, Phuket 83100, Thailand",0930,1200,7.8166215,98.2995701,Water Activities,7303.5
Thailand,"Phuket, Thalang District, Sakhu, Nai Yang",Naiyang Beach,"Outdoor Activities, Nature & Parks, Beaches",785,4,NaN,"Nai Yang, Sakhu, Phuket 83110, Thailand",NaN,NaN,8.092135,98.3021819,"Active, Water Activities, Nature",3140
Thailand,Phuket,Koh Yao Yai,"Nature & Parks, Islands",200,4.5,NaN," In the middle of Phang Nga Bay, equidistant to Phuket and the Krabi mainland, Phuket 82160, Thailand",0800,1700,8.1191782,98.6050736,Nature,900
Thailand,"Phuket, Kathu, Patong",Paradise Beach,"Outdoor Activities, Beach & Pool Clubs",1061,3.5,"Make memories to last a life time at Paradise Beach, where your paradise is our pleasure. Paradise Beach is located in an exquisite area only 8 minutes away from the world famous Patong beach. You can visit Paradise Beach any time between 9.00 am...","109, Muen-Ngern Road, Patong, Kathu, Phuket 83150, Thailand",0900,2100,7.8866248,98.2714808,"Active, Water Activities",3713.5
Thailand,"Phuket, Kathu",Kathu Waterfall,"Nature & Parks, Waterfalls",196,3.5,NaN,"Kathu, Phuket, Thailand",NaN,NaN,7.9089471,98.3197946,Nature,686
Thailand,"Phuket, Kathu, Patong",Suwan Khiri Wong Temple(Patong Temple),"Sights & Landmarks, Points of Interest & Landmarks",259,4.5,NaN,"9 Patong Road(Phrabarami Road), Patong, Kathu, Phuket, Thailand",NaN,NaN,7.9058031,98.2981716,Attractions,1165.5
Thailand,"Phuket, Kathu",Kalim beach,"Outdoor Activities, Nature & Parks, Beaches",71,4,NaN,"Kathu, Phuket, Thailand",NaN,NaN,7.9089471,98.3197946,"Active, Water Activities, Nature",284
Thailand,"Phuket, Thalang District, Choeng Thale",Green Elephant Sanctuary Park,"Nature & Parks, Nature & Wildlife Areas",501,5,"In the Elephant Sanctuary Park you can experience elephants in the most natural way. In their natural environment, where they are free and simply wonderful! It is important to us that you can experience the daily life of the animals. And that you...","4, Soi Cherngtalay 1, Si Sunthon Road, Choeng Thale, Phuket 83110, Thailand",0800,1700,7.9816082,98.3098393,Nature,2505
Thailand,"Phuket, Kathu, Patong",Patong Inn Art,"Shopping, Museums, Art Galleries",66,5,NaN,"Patong, Kathu, Phuket 83150, Thailand",NaN,NaN,7.9038781,98.3033694,"Cultural, Attractions",330
Thailand,"Phuket, Kathu, Patong",KUDO Beach Club,"Outdoor Activities, Beach & Pool Clubs",121,4,NaN,"150, Thawewong Road, Patong, Kathu, Phuket 83150, Thailand",1000,1200,7.8950568,98.2961977,"Active, Water Activities",484
Thailand,"Phuket, Kathu, Patong",Bangla Boxing Stadium,"Sights & Landmarks, Arenas & Stadiums",622,4,NaN,"198/4, Rat-U-Thit Road, Patong, Kathu, Phuket 83150, Thailand",NaN,NaN,NaN,NaN,Attractions,2488
Thailand,"Phuket, Karon, Kata Beach",Community Park,Nature & Parks,66,4.5,NaN,"Kata Beach, Karon, Phuket, Thailand",NaN,NaN,7.8206945,98.2976473,Nature,297
Thailand,"Phuket, Kathu",Bang Wad Reservoir and Dam,"Nature & Parks, Outdoor Activities, Biking Trails, Bodies of Water, Jogging Paths & Tracks, ",8,4.5,NaN," Near Phuket Golf and Country Club, Kathu, Phuket, Thailand",NaN,NaN,7.8931028,98.3441239,"Food, Active, Nightlife, Water Activities, Nature, Cultural, Attractions",36
Thailand,Phuket,Phuket Aquarium,"Museums, Speciality Museums",829,3.5,NaN,"51 Moo 8 Sakdidet Rd, Amphoe Mueang, Phuket 83000, Thailand",0830,1630,7.8040327,98.4074603,"Cultural, Attractions",2901.5
Thailand,"Phuket, Kathu, Patong",Patong OTOP Shopping Paradise,"Shopping, Flea & Street Markets",361,3.5,NaN,"Rat U Thit 200 Pee Road, Patong, Kathu, Phuket, Thailand",NaN,NaN,7.9051243,98.3009056,City,1263.5
Thailand,Phuket,Coral Island,"Nature & Parks, Islands",799,3.5,NaN,"48/12 Moo9 T, Chalong Phuket, Phuket 83130, Thailand",1200,2359,7.8553841,98.3494366,Nature,2796.5
Thailand,"Phuket, Thalang District, Choeng Thale",Surin Beach,"Nature & Parks, Outdoor Activities, Beaches",1542,4,NaN,"Choeng Thale, Phuket 83110, Thailand",NaN,NaN,8.0118764,98.3033694,"Active, Water Activities, Nature",6168
Thailand,"Phuket, Kathu, Kamala",Kamala Muay Thai Gym,"Classes & Workshops, Outdoor Activities, Sports Camps & Clinics",16,5,"Kamala Muay Thai Gym is a locally owned community Gym. The gym provides Muay Thai training and classes for local students and tourists of all levels. Classes are 1 on 1 with a qualified instructor, however group fitness classes can be arrange for...","Nakanai Road, Kamala, Kathu, Phuket 83120, Thailand",NaN,NaN,7.9444257,98.2819351,Active,80
Thailand,"Phuket, Phuket Town, Chalong",Dolphins Bay Phuket,"Outdoor Activities, Boat Tours & Water Sports, Tours, Swim with Dolphins, ",327,4.5,"There is a place where you can have a good time for adults and children. Want to experience a weekend or weekday holidays do? Come on show in Kharkov Dolphinarium «Nemo». Here you can feel like a kid and think, how can truly surprised and scream...","33/50, Moo 2, Soi Pa Lai, Chalong, Phuket Town, Phuket 83130, Thailand",1100,1145,7.8422755,98.3568238,"Food, Active, Nightlife, Water Activities, Nature, Cultural, Attractions",1471.5
Thailand,"Phuket, Phuket Town",Khao Rang Hill View Point,"Nature & Parks, Sights & Landmarks, Lookouts, Mountains, ",486,4.5,NaN,"Phuket Town, Phuket, Thailand",NaN,NaN,7.8804479,98.3922504,"Food, Active, Nightlife, Water Activities, Nature, Cultural, Attractions",2187
Thailand,Phuket,Nai Thon Beach,"Nature & Parks, Outdoor Activities, Beaches",250,4.5,NaN,"Nai Thon, Phuket, Thailand",NaN,NaN,8.0605514,98.2771992,"Active, Water Activities, Nature",1125
Thailand,"Phuket, Rawai, Nai Harn",Nai Harn Beach,"Outdoor Activities, Nature & Parks, Sights & Landmarks, Lookouts, Beaches, ",3826,4.5,NaN,"Nai Harn, Rawai, Phuket, Thailand",NaN,NaN,7.7785093,98.3031575,"Food, Active, Nightlife, Water Activities, Nature, Cultural, Attractions",17217
Thailand,"Phuket, Phuket Town",Windmill Viewpoint,"Sights & Landmarks, Lookouts",232,4.5,NaN,"Phuket Town, Phuket, Thailand",NaN,NaN,7.8804479,98.3922504,Attractions,1044
Thailand,"Phuket, Kathu, Patong",Vegetarian Festival Phuket,"Events, Cultural Events",26,4,"Celebrated over 9 days in October, this Chinese festival dictates a strict vegetarian diet and period of abstinence whilst locals pray to the Nine Emperor Gods. Dressed in white, it is a time for the purification of both body and mind, and a time to...class=""attractions-attraction-detail-about-card-Description__readMore--Z6yqN"">more</span></span>","Ranong Road,Talat Nuea, Patong, Kathu, Phuket 83000, Thailand",NaN,NaN,7.8837002,98.3837837,"Cultural, Active, Attractions",104
Thailand,"Phuket, Karon",Karon Temple Market,"Shopping, Flea & Street Markets",783,4,NaN,"Patak Road, Karon, Phuket, Thailand",NaN,NaN,7.8316102,98.29978,City,3132
Thailand,Phuket,Banana Beach,"Outdoor Activities, Nature & Parks, Beaches",212,4,NaN,"Coral Island, Phuket, Thailand",NaN,NaN,7.7421154,98.3759417,"Active, Water Activities, Nature",848
Thailand,"Phuket, Karon",Wat Suwan Khiri Khet,"Sights & Landmarks, Sacred & Religious Sites",182,4,NaN,"Karon, Phuket 83100, Thailand",NaN,NaN,7.8287744,98.3012857,"Cultural, Attractions",728
Thailand,"Phuket, Kathu, Kamala",Pang Chang Kamala,"Sights & Landmarks, Points of Interest & Landmarks",131,3.5,NaN,"Route 4233, Kamala, Kathu, Phuket, Thailand",NaN,NaN,7.9497144,98.2802621,Attractions,458.5
Thailand,"Phuket, Kathu",Phuket Mining Museum,"Museums, Speciality Museums",51,4,NaN,"Moo 5, Kathu-Ko Kaeo Rd, Kathu, Phuket, Thailand",NaN,NaN,7.9333284,98.3494867,"Cultural, Attractions",204
Thailand,"Phuket, Kathu, Kamala",Kamala Beach,"Outdoor Activities, Nature & Parks, Beaches",126,4,"Welcome to Kamala Beach Gallery. The Gallery by the beach site.Our Gallery shows and sells the art work collection which we’ve collected from several artists around Thailand.We also make portrait and painting to order. Our Gallery open everyday from...class=""attractions-attraction-detail-about-card-Description__readMore--Z6yqN"">more</span></span>","Kamala, Kathu, Phuket 83150, Thailand",NaN,NaN,7.9038781,98.3033694,"Active, Water Activities, Nature",504
Thailand,"Phuket, Kathu, Patong",Kidzoona,"Fun & Games, Nature & Parks, Playgrounds",17,4.5,NaN,"181, Rat-U-Thit 200 Pee Road 3th Floor, Patong, Kathu, Phuket, Thailand",NaN,NaN,7.892373,98.300213,Nature,76.5
Thailand,"Phuket, Kathu",Awa Market,"Shopping, Antique Stores, Flea & Street Markets",2,5,NaN,"Pra Phuket Kaew, Kathu, Phuket 83150, Thailand",400,1200,7.9038781,98.3033694,City,10
Thailand,"Phuket, Kathu, Patong",Mama Massage,Oth,21,4.5,NaN,"169/10-11 Soi Sansabai Patong Katu, Phuket , Thailand, Patong, Kathu, Phuket 83150, Thailand",0900,0100,7.892922,98.298984,"Food, Active, Nature",94.5
Thailand,"Phuket, Rawai",Yanui Beach,"Nature & Parks, Outdoor Activities, Beaches",451,4.5,NaN,"Rawai, Phuket 83100, Thailand",NaN,NaN,7.8011096,98.3197946,"Active, Water Activities, Nature",2029.5
Thailand,"Phuket, Phuket Town, Koh Kaew",Royal Phuket Marina,"Nature & Parks, Marinas",233,4.5,"Phuket's award winning state-of-the-art marina is the 'paradise' island's premier lifestyle destination. It is devoted to sailing, sports and leisure, with luxury residences and shopping facilities waterfront restaurants set amidst landscaped parks...","68 Moo 2, Thepkasattri Rd., Koh Kaew, Phuket Town, Phuket 83200, Thailand",1200,2359,7.9659655,98.3901408,Nature,1048.5
Thailand,"Phuket, Thalang District, Mai Khao",Saphan Sarasin Bridge,"Sights & Landmarks, Points of Interest & Landmarks, Bridges",174,4,NaN,"Mai Khao, Phuket, Thailand",NaN,NaN,8.121671,98.3083991,"Cultural, Attractions",696
Thailand,"Phuket, Thalang District, Mai Khao",Splash Jungle Waterpark,"Water & Amusement Parks, Water Parks",740,3.5,NaN,"65 Moo 4 Mai khao Soi 4, Mai Khao, Phuket 83110, Thailand",0900,1800,8.1162756,98.3066508,Water Activities,2590
Thailand,"Phuket, Kathu, Kamala",Wat Baan Kamala,"Sights & Landmarks, Sacred & Religious Sites",7,4.5,NaN,"Rim Hat Road, Kamala, Kathu, Phuket 83120, Thailand",NaN,NaN,7.9503832,98.2810046,"Cultural, Attractions",31.5
Thailand,"Phuket, Thalang District, Mai Khao",Flying Trapeze Phuket Adventure KidzSole,"Classes & Workshops, Outdoor Activities, Sports Camps & Clinics",31,5,"Flying Trapeze Phuket Adventure on the Beach & in the Shade! Amazing panoramic ocean views! Experience the thrill of fun filled excitement of Adventure Learning on one of Phukets most exclusive Beaches, Mai Khao Beach! ""Learn to Fly"" Trapeze ""Make a...","390/1 Moo1 Srisoonthorn Road Micky Monkey Beach, Mai Khao, Phuket 83110, Thailand",1100,1800,8.1546094,98.2963783,Active,155
Thailand,Phuket,Phuket Bird Park,"Nature & Parks, Nature & Wildlife Areas",318,3.5,NaN,"6/2 M. 3 Chaofa (West) Road, T. Vichit a. Muang Phuket, Phuket 83000, Thailand",NaN,NaN,7.8741675,98.3785118,Nature,1113
Thailand,"Phuket, Phuket Town",Phuket Weekend Night Market,"Shopping, Flea & Street Markets",358,4,NaN,"Wichit Subdistrict, Phuket Town, Phuket, Thailand",400,2300,7.8847783,98.3890333,City,1432
Thailand,"Phuket, Thalang District, Choeng Thale",Sitsongpeenong Muay Thai Training Phuket,"Outdoor Activities, Classes & Workshops, Sports Camps & Clinics",123,5,Sitsongpeenong is a Muay Thai Gym with high level trainers teaching the skills of Thailand national sport. The gym boasts many superstars of the sport past and present. There are classes and private lessons available and no experience is necessary...,"188 Moo 3, Hat Surin 4, Choeng Thale, Phuket 83100, Thailand",NaN,NaN,7.9750346,98.2784514,Active,615
Thailand,"Phuket, Kathu",Elephant Sanctuary Kathu Phuket,"Nature & Parks, Nature & Wildlife Areas",10,4,NaN,"Kathu, Phuket, Thailand",NaN,NaN,7.9089471,98.3197946,Nature,40
Thailand,"Phuket, Kathu",Kata Shopping Centre,"Shopping, Shopping Malls",8,4,NaN," Kata Beach, Kathu, Phuket, Thailand",NaN,NaN,7.8206945,98.2976473,City,32
Thailand,"Phuket, Kathu, Patong",Patong Mosque,"Sights & Landmarks, Sacred & Religious Sites",15,4,NaN,"83, Phrabarami Road, Patong, Kathu, Phuket 83150, Thailand",NaN,NaN,7.9037755,98.3036335,"Cultural, Attractions",60
Thailand,Phuket,Laem Sing Beach,"Nature & Parks, Outdoor Activities, Beaches",433,4,NaN,"Phuket, Thailand",NaN,NaN,7.9519331,98.3380884,"Active, Water Activities, Nature",1732
Thailand,"Phuket, Kathu",Phuket Floating Market,"Shopping, Flea & Street Markets",29,3,NaN,"Kathu, Phuket, Thailand",NaN,NaN,7.9089471,98.3197946,City,87
Thailand,"Phuket, Phuket Town",Chillva Market,"Shopping, Flea & Street Markets",129,4.5,NaN,"141/2 Yaowarat Road, Phuket Town, Phuket, Thailand",500,2300,7.8839668,98.3874492,City,580.5
Thailand,"Phuket, Kathu, Kamala",Tsunami Memorial Park,"Sights & Landmarks, Points of Interest & Landmarks, Monuments & Statues",216,3.5,NaN,"Kamala, Kathu, Phuket 83150, Thailand",NaN,NaN,7.9038781,98.3033694,"Cultural, Attractions",756
Thailand,"Phuket, Kathu, Patong",Danze Fantasy Theatre,"Concerts & Shows, Theatres",132,4,"The Danze Fantasy Theatre currently plays host to the best International shows in Phuket. Genesis - The Magic Spectacular stars world famous magician Joe Labero and a cast of 20 international performers. While ""Balls"" is a show direct from Las Vegas...class=""attractions-attraction-detail-about-card-Description__readMore--Z6yqN"">more</span></span>","5 Bangla Rd, Patong, Kathu, Phuket 83150, Thailand",NaN,NaN,7.893192,98.296765,Attractions,528
Thailand,"Phuket, Kathu, Patong",Apichart art gallery,"Museums, Shopping, Art Galleries",21,4.5,NaN,"183 Prabaramee Rd, Patong, Kathu, Phuket 83150, Thailand",NaN,NaN,7.9038781,98.3033694,"Cultural, Attractions",94.5
Thailand,"Phuket, Kathu",Seaview Elephant Camp,"Nature & Parks, Nature & Wildlife Areas",167,2.5,NaN,"Saiyuan Road Kata, Kathu, Phuket, Thailand",NaN,NaN,7.808564,98.302802,Nature,417.5
Thailand,Phuket,Phuket Zoo,"Nature & Parks, Zoos & Aquariums, Outdoor Activities",1199,2,NaN,"23/2 Moo 3, Soi Palai, Chaofah Rd. Muang, Phuket 83000, Thailand",NaN,NaN,7.8427524,98.358525,"Active, Attractions, Nature",2398
Thailand,Phuket,Wat Phra Thong,"Sights & Landmarks, Monuments & Statues, Historic Sites, Points of Interest & Landmarks, Sacred & Religious Sites, Churches & Cathedrals, ",98,4.5,NaN,"170 Moo7 T.Thepkasattri A.Taran, Phuket 83110, Thailand",NaN,NaN,7.9587362,98.3869487,"Food, Active, Nightlife, Water Activities, Nature, Cultural, Attractions",441
Thailand,"Phuket, Thalang District, Choeng Thale",Boat Avenue Villa Market,"Shopping, Shopping Malls",75,4.5,NaN,"49/14, Baandon-Cherng Talay Road, Choeng Thale, Phuket 83110, Thailand",NaN,NaN,7.993803,98.3046737,City,337.5
Thailand,"Phuket, Karon, Kata Beach",Kata Night Market,"Shopping, Flea & Street Markets",16,4,NaN,"Patak Rd, Kata Beach, Karon, Phuket 83100, Thailand",NaN,NaN,7.8316102,98.29978,City,64
Thailand,"Phuket, Thalang District, Thep Krasattri",Khao Phra Thaeo National Park,"Nature & Parks, National Parks",74,3.5,"As featured in <a href=""/Guide-g293920-k4387-Phuket.html"" onclick=""undefined"">Guide to Phuket Outdoors</a></span><div class=""attractions-attraction-detail-about-card-AttractionDetailAboutCard__section--WwZwR"">","Thep Krasattri, Phuket, Thailand",NaN,NaN,8.0274841,98.3331781,"Cultural, Nature",259
Thailand,"Phuket, Kathu, Patong",Don Fashion,Oth,31,4,NaN,"154/1 Taweewong Road, Patong, Kathu, Phuket 83150, Thailand",NaN,NaN,7.8901278,98.2935173,"Food, Active, Nature",124
Thailand,"Phuket, Kathu, Patong",Banana Walk,"Shopping, Shopping Malls",37,3,NaN,"124/11 Taweewong Road, Patong, Kathu, Phuket 83150, Thailand",NaN,NaN,7.8925722,98.29474,City,111
Thailand,"Phuket, Thalang District, Thep Krasattri",Bang Pae Waterfalls,"Nature & Parks, Waterfalls",273,3.5,"As featured in <a href=""/Guide-g293920-k988-Phuket.html"" onclick=""undefined"">Romantic Guide to Phuket</a></span><div class=""attractions-attraction-detail-about-card-AttractionDetailAboutCard__section--WwZwR"">","Khao Phra Thaeo National Park, Thep Krasattri, Phuket, Thailand",NaN,NaN,8.049658,98.3597338,Nature,955.5
Thailand,"Phuket, Kathu, Patong",The Phuket Gallery,"Museums, Shopping, Art Galleries",8,4.5,NaN,"152/1 Taweewong Road Shop C11, Patong, Kathu, Phuket 83150, Thailand",NaN,NaN,7.895022,98.296935,"Cultural, Attractions",36
Thailand,"Phuket, Phuket Town, Chalong",Tiger Muay Thai - Day Classes,"Outdoor Activities, Classes & Workshops, Sports Camps & Clinics",314,4,"Tiger Muay Thai & MMA Training Camp started Muay Thai training camp in 2004 with a vision of bringing quality Muay Thai training to everyone. Although we started with just one ring, we now have seven boxing rings, an MMA cage, 36 workout stations...","7/6 Moo 5 Soi Ta-ied Ao Chalong, Chalong, Phuket Town, Phuket 83100, Thailand",0700,1900,7.8561495,98.3434526,Active,1256
Thailand,"Phuket, Kathu, Patong",Merlin Butterfly Sanctuary,"Nature & Parks, Nature & Wildlife Areas",15,4,"Phuket Marriott Resort & Spa, Merlin Beach has established the Merlin Butterfly Sanctuary – a unique conservation project in collaboration with partners at the International Union for the Conservation of Nature (IUCN). Butterflies are essential...","99, Muen-Ngern Road Tri Trang beach, Patong, Kathu, Phuket 83150, Thailand",0900,1700,7.883538,98.2727078,Nature,60
Thailand,"Phuket, Phuket Town, Chalong",Unit 27 Total Conditioning & CrossFit Gym,"Outdoor Activities, Classes & Workshops, Sports Camps & Clinics",238,5,"Unit-27 is Asia's leading specialist & purpose built S&C/Fitness Facility. Staffed with an Elite Team of Qualified S&C coaches, the quality of our sessions are the best you will ever experience, the results effective, fast and above all safe. We are...","9/49 moo 5, Soi Ta Aed, Chalong, Phuket Town, Phuket 83130, Thailand",0700,1930,7.854422,98.343944,Active,1190
Thailand,"Phuket, Ko Racha Yai",Koh Racha Yai,"Nature & Parks, Islands",491,4,NaN,"Phuket, Thailand",NaN,NaN,7.9519331,98.3380884,Nature,1964
Thailand,Phuket,Layan Beach,"Outdoor Activities, Sights & Landmarks, Nature & Parks, Points of Interest & Landmarks, Beaches, ",79,4.5,NaN,"Phuket, Thailand",NaN,NaN,7.9519331,98.3380884,"Food, Active, Nightlife, Water Activities, Nature, Cultural, Attractions",355.5
Thailand,"Phuket, Kathu, Patong",Royal Armani Suit,"Shopping, Factory Outlets",38,4.5,NaN,"237/6 F. 25 Rat-U-Thit 200 Pee, Patong, Kathu, Phuket 83150, Thailand",NaN,NaN,7.886634,98.294944,City,171
